university,career,inscription_date,last_name,gender,birth_date,age,postal_code,location,email
universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/12/18,jasmine medina,f,1926/12/21,,,abramo,zachary43@hotmail.com
universidad nacional de jujuy,diseño industrial,2020/12/05,rebecca padilla,f,2002/11/17,,,25 de mayo,rhampton@yahoo.com
universidad nacional de jujuy,ingeniería electrónica,2020/10/07,melissa swanson,f,2000/04/13,,,azteazu,jenniferstrickland@gmail.com
universidad nacional de jujuy,licenciatura en musicoterapia,2021/01/24,juan hicks,m,1955/12/31,,,cabi monda,gibsoncheryl@yahoo.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/09/24,kristina bush,f,1974/11/08,,,cerro de la gloria canal 15,benjamindean@hotmail.com
universidad nacional de jujuy,farmacia,2020/10/21,christina wells,f,1909/10/05,,,colonia lia y allende,qwells@yahoo.com
universidad nacional de jujuy,actuario ,2020/12/23,michael chapman,m,1987/08/27,,,emilio lamarca,natalie99@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/10/20,brandon martin,m,1925/11/07,,,aldea apeleg,michellesherman@yahoo.com
universidad nacional de jujuy,arquitectura,2020/11/09,richard perez,m,2010/07/29,,,cespedes,christopherball@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/10/09,james padilla,m,1981/08/05,,,campo crisol,marshallbrian@gmail.com
universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/07,caroline humphrey,f,2016/01/18,,,agua de castilla,gsnyder@hotmail.com
universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/12/07,jamie taylor,f,1965/03/18,,,alejandra,daviseddie@yahoo.com
universidad nacional de jujuy,técnico para bioterios ,2020/10/12,christopher obrien,m,1998/10/11,,,cañada del ucle,dawncole@gmail.com
universidad nacional de jujuy,bioquímica,2020/10/29,anthony ruiz,m,2004/12/07,,,la chirlandia,kellysamuel@gmail.com
universidad nacional de jujuy,ingeniería electrónica,2020/11/10,sharon day,f,1969/06/25,,,encina,gardnertimothy@gmail.com
universidad nacional de jujuy,actuario ,2020/09/23,victoria wolfe,f,2002/05/09,,,girodias,howardvictor@yahoo.com
universidad nacional de jujuy,licenciatura en ciencia política ,2020/10/04,spencer dominguez,m,1934/08/03,,,alcaraz 2do,bparsons@hotmail.com
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/10/03,tina thomas,f,1905/11/27,,,el bombero,cassiebrewer@yahoo.com
universidad nacional de jujuy,licenciatura en ciencia política ,2020/10/15,debra davis,f,1948/01/25,,,chañarcito,mooreandrea@hotmail.com
universidad nacional de jujuy,medicina,2020/11/02,andre anderson,m,1966/05/04,,,brea chimpana,arivera@hotmail.com
universidad nacional de jujuy,licenciatura en musicoterapia,2020/09/14,carolyn clark,f,1969/05/30,,,colonia centenario,jordanleslie@hotmail.com
universidad nacional de jujuy,diseño de imagen y sonido,2021/01/19,jorge miller,m,1996/10/18,,,colonia la blanquita,sherri64@hotmail.com
universidad nacional de jujuy,ingeniería mecánica,2020/11/27,andrea molina,f,1934/05/01,,,campo el mataco,luisconley@gmail.com
universidad nacional de jujuy,arquitectura,2020/09/17,jimmy taylor,m,2004/12/12,,,la union,xcollins@gmail.com
universidad nacional de jujuy,ingeniería en informática,2020/11/06,elizabeth cox,f,1934/05/01,,,cañada,hughesandrew@yahoo.com
universidad nacional de jujuy,arquitectura,2021/01/15,stephanie williamson,f,1975/02/06,,,aromos,patrickcrawford@hotmail.com
universidad nacional de jujuy,farmacia,2020/11/26,derek robinson,m,1999/08/07,,,barrio villa saladillo,kathleenmitchell@yahoo.com
universidad nacional de jujuy,licenciatura en ciencia política ,2021/01/11,melissa moore,f,1956/02/04,,,cachiyuyal,erin97@yahoo.com
universidad nacional de jujuy,licenciatura en terapia ocupacional,2021/01/06,christopher bennett,m,1916/08/04,,,boulogne,valenzuelacarolyn@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/12/06,tonya hancock,f,1966/04/19,,,alto pencoso,christophermason@gmail.com
universidad nacional de jujuy,licenciatura en psicología,2020/09/07,michael pacheco,m,1941/02/13,,,meson de fierro,erosario@yahoo.com
universidad nacional de jujuy,farmacia,2020/10/13,lauren long,f,1944/10/07,,,algarrobo verde,williamsonrebecca@gmail.com
universidad nacional de jujuy,agronomía,2020/09/29,anita drake,f,1913/09/06,,,colonia 1 de mayo,mendozacorey@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/09/30,elizabeth hickman,f,1913/10/27,,,la lucila del mar,rachelyang@gmail.com
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/09/12,benjamin hernandez,m,2009/07/27,,,comandante leal,andrew91@hotmail.com
universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/10/28,jesse cohen,m,2014/06/14,,,kilmetro 165,anguyen@yahoo.com
universidad nacional de jujuy,agronomía,2020/11/08,mark greer,m,1993/12/21,,,estacion general arenales,tstanley@hotmail.com
universidad nacional de jujuy,técnico para bioterios ,2020/10/09,katie hamilton,f,1971/10/02,,,alto del molle,tthompson@gmail.com
universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020/10/26,jeffrey le,m,1914/03/09,,,arroyo grande,amandadavis@hotmail.com
universidad nacional de jujuy,medicina,2020/11/12,jessica ruiz,f,1949/01/17,,,bañadito viejo,taylor07@hotmail.com
universidad nacional de jujuy,ingeniería electrónica,2020/12/19,jennifer crawford,f,1946/07/30,,,guillermo e hudson,vross@gmail.com
universidad nacional de jujuy,actuario ,2020/10/31,michele roman,f,2019/08/23,,,aromos,mcintyrerichard@hotmail.com
universidad nacional de jujuy,actuario ,2020/11/07,stephanie dunn,f,1997/08/20,,,colonia florencia,thompsonpeter@gmail.com
universidad nacional de jujuy,licenciatura en musicoterapia,2021/01/05,tiffany olson,f,1932/10/25,,,agote,zwalker@gmail.com
universidad nacional de jujuy,ingeniería mecánica,2020/11/12,christopher miller,m,1999/10/30,,,azara,erobinson@gmail.com
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/10/08,ronnie davis,m,1993/10/31,,,colonia hinojo,zjones@hotmail.com
universidad nacional de jujuy,ciencias veterinarias,2020/12/25,connie floyd,f,1976/04/16,,,el espinillo,tamarahorton@hotmail.com
universidad nacional de jujuy,técnico para bioterios ,2021/01/30,joseph cabrera,m,1942/01/26,,,aristia,qnavarro@hotmail.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2021/01/26,tammy ortiz,f,1932/03/08,,,agua colorada,johnsondouglas@hotmail.com
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/10/26,david archer,m,1990/11/15,,,alamos,marioking@gmail.com
universidad nacional de jujuy,ingeniería en informática,2020/11/01,alyssa nelson,f,1960/02/14,,,baigorrita,kennethjackson@yahoo.com
universidad nacional de jujuy,licenciatura en administración ,2021/01/08,leonard peterson,m,1969/03/08,,,abalo,christopherwilson@yahoo.com
universidad nacional de jujuy,ingeniería electrónica,2020/09/26,brian moore,m,1996/09/26,,,arroyo guilaia,robert72@hotmail.com
universidad nacional de jujuy,ingeniería mecánica,2020/11/09,cassandra turner,f,1985/01/29,,,colonia lote 12,andrewrodriguez@hotmail.com
universidad nacional de jujuy,agronomía,2020/10/06,matthew jensen,m,1948/10/30,,,funke,erinmcclain@hotmail.com
universidad nacional de jujuy,técnico para bioterios ,2020/11/14,danielle wilson,f,1922/12/19,,,agustin mosconi,robinbranch@hotmail.com
universidad nacional de jujuy,ciencias veterinarias,2020/12/15,brian reese,m,1968/02/03,,,colonia campo piaggio,bryantpatrick@yahoo.com
universidad nacional de jujuy,licenciatura en terapia ocupacional,2021/01/12,rachel torres,f,2012/02/03,,,el pingo,kcox@gmail.com
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/12/08,wesley acosta,m,1965/10/17,,,corbett,linda85@yahoo.com
universidad nacional de jujuy,ciencias veterinarias,2020/10/23,kaitlyn case,f,2019/08/12,,,de bruyn,angela12@hotmail.com
universidad nacional de jujuy,diseño de imagen y sonido,2021/01/10,austin smith,m,1947/10/10,,,alabama,tmcbride@gmail.com
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/11/17,dean brown,m,2019/03/01,,,cañadon lagarto,zdoyle@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/12/25,heather small,f,1952/01/25,,,longchamps,brookskrystal@hotmail.com
universidad nacional de jujuy,diseño industrial,2020/12/20,julie wilson,f,1963/10/02,,,el rincon,baileybrianna@yahoo.com
universidad nacional de jujuy,bioquímica,2020/10/15,adrienne jackson,f,1990/12/29,,,bella vista,linda76@gmail.com
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/09/28,kristin johnson,f,1941/05/13,,,baños lunlunta,tanyacompton@hotmail.com
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/10/20,deborah martin,f,1905/12/06,,,ataliva,smithjoshua@hotmail.com
universidad nacional de jujuy,licenciatura en psicología,2020/10/24,scott perkins,m,1989/02/16,,,cuartel v,zford@yahoo.com
universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/10/06,matthew watson,m,1913/04/07,,,aldea maria luisa,carllindsey@hotmail.com
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/10/30,amanda davis,f,1988/05/21,,,carreras,smithsamantha@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias geológicas,2021/01/11,richard foster,m,1973/12/24,,,la lucila,richardpatricia@yahoo.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/28,melissa king,f,1906/01/15,,,domselaar,emiller@yahoo.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/30,chad murphy,m,1941/04/11,,,campo cicare,catherinethomas@yahoo.com
universidad nacional de jujuy,arquitectura,2020/10/13,christopher fox,m,1954/05/10,,,cachari,nicole37@hotmail.com
universidad nacional de jujuy,diseño de imagen y sonido,2020/09/20,bob rice,m,1933/01/01,,,agua de castilla,leah44@hotmail.com
universidad nacional de jujuy,licenciatura en sociología ,2020/09/24,jeremy arnold,m,1914/04/25,,,buen retiro,lisacastillo@hotmail.com
universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020/12/14,cory miller,m,1991/05/21,,,colonia las yescas,zcompton@gmail.com
universidad nacional de jujuy,actuario ,2021/01/24,manuel booth,m,1947/10/04,,,hurlingham,lindsey79@gmail.com
universidad nacional de jujuy,contador público ,2021/01/23,curtis stone,m,1995/01/24,,,colonia el aguara,fletcherjoseph@gmail.com
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020/11/02,samantha mcdowell,f,1957/05/23,,,cangallo,michaelrodriguez@gmail.com
universidad nacional de jujuy,bioquímica,2020/09/05,travis lopez,m,1918/07/10,,,ceres,reyesmarc@hotmail.com
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/09/10,angela hernandez,f,1963/08/23,,,barrancas,matthewcruz@gmail.com
universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2021/01/18,andrea holmes,f,1973/06/23,,,carandaiti,gonzalesbetty@gmail.com
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020/10/18,jeffrey nolan,m,1934/05/31,,,sarandi,lopezmonica@hotmail.com
universidad nacional de jujuy,agronomía,2020/09/14,donald baker,m,1943/12/22,,,aserradero arroyo,crystal01@gmail.com
universidad nacional de jujuy,diseño industrial,2020/12/03,melanie richards,f,1929/03/07,,,algarrobo,michaelwood@gmail.com
universidad nacional de jujuy,ingeniería mecánica,2020/12/28,nicholas dougherty,m,1967/09/24,,,comandante leal,macdonaldrichard@hotmail.com
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/10/24,amy johnson,f,1983/04/23,,,campo el mataco,mmendoza@yahoo.com
universidad nacional de jujuy,licenciatura en psicología,2020/10/05,corey nichols,m,1908/06/06,,,agua colorada,pross@gmail.com
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2021/01/27,alexandra davis,f,1918/08/13,,,estacion uspallata,julian20@gmail.com
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/09/21,thomas johnson,m,1957/04/12,,,garcia del rio,chadfigueroa@yahoo.com
universidad nacional de jujuy,contador público ,2021/01/06,joe cunningham,m,2005/03/31,,,casimiro gomez,christine91@yahoo.com
universidad nacional de jujuy,contador público ,2020/12/13,mr. john schneider,m,1996/06/29,,,est jauregui va flandria,ajohnson@yahoo.com
universidad nacional de jujuy,licenciatura en musicoterapia,2020/11/03,joshua reed,m,1992/09/19,,,arañita,jenniferpayne@gmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/12/18,carolyn brown,f,1966/03/13,,,hospital necochea,kendrabarnett@gmail.com
universidad nacional de jujuy,agronomía,2020/10/10,kevin green,m,1987/02/06,,,ireneo portela,chelsea18@gmail.com
universidad nacional de jujuy,arquitectura,2021/01/19,jerry ewing,m,1956/05/09,,,arroyo castillo,sarahfrazier@yahoo.com
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020/11/12,tina gordon,f,1933/02/28,,,colonia mackinlay,jguerra@gmail.com
universidad nacional de jujuy,arquitectura,2021/01/15,james jones,m,1910/04/07,,,adolfo rodriguez saa,qtaylor@hotmail.com
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2021/01/20,rachel calderon,f,1948/03/05,,,destileria fiscal,thomas86@gmail.com
universidad nacional de jujuy,farmacia,2020/09/08,victoria logan,f,1997/12/06,,,villa lerga,andrew77@gmail.com
universidad nacional de jujuy,agronomía,2020/10/24,oscar benton,m,1977/10/13,,,la pastora,ryanbeasley@gmail.com
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/12/26,joshua jones,m,1962/02/01,,,la limpia,hmartinez@hotmail.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2021/01/23,travis stafford,m,1967/10/01,,,campo de los andes,diaztyler@hotmail.com
universidad nacional de jujuy,licenciatura en terapia ocupacional,2021/01/28,anthony phillips,m,1931/11/17,,,cachiyuyal,cheryl85@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/12/20,melody chapman,f,2005/03/24,,,el retiro,blanchardaustin@hotmail.com
universidad nacional de jujuy,técnico para bioterios ,2020/10/22,laura sanchez,f,1996/08/26,,,peyrano,patricia20@yahoo.com
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/12/15,zachary lyons,m,1959/12/06,,,villa dominico,andrewbailey@gmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/10/05,richard webb,m,1955/08/09,,,banda florida,walkerjacob@gmail.com
universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/09/09,todd rose,m,1974/06/06,,,agustin mosconi,bentleydaniel@yahoo.com
universidad nacional de jujuy,licenciatura en musicoterapia,2020/12/04,dominique smith,f,1940/09/09,,,ariel,carlypena@yahoo.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/11/10,kayla wilson,f,1939/04/02,,,bella vista,zachary35@gmail.com
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/12/10,leonard wallace,m,1919/01/12,,,arano,cspencer@hotmail.com
universidad nacional de jujuy,bioquímica,2020/09/09,john white,m,1986/06/02,,,arboleda,christopher46@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/09/18,monica lee phd,f,1962/04/30,,,los frentones,kchristensen@gmail.com
universidad nacional de jujuy,bioquímica,2020/09/18,timothy fleming,m,2011/01/05,,,carrizal norte,michaelmartinez@yahoo.com
universidad nacional de jujuy,agronomía,2021/01/24,eric king,m,1925/06/08,,,estacion la rinconada,schroedervanessa@yahoo.com
universidad nacional de jujuy,licenciatura en psicología,2020/09/16,paul gray,m,1922/01/17,,,los indios,dicksonsarah@hotmail.com
universidad nacional de jujuy,farmacia,2020/10/06,jake anderson,m,1971/03/04,,,carro quemado,michael68@hotmail.com
universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/10/09,derek parks,m,1954/12/19,,,san geronimo,jasminecrawford@gmail.com
universidad nacional de jujuy,licenciatura en administración ,2020/11/19,rebecca garcia,f,1907/02/14,,,cañada la rica,wendy70@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/10/10,candace clark,f,2009/09/13,,,cari larquea,benjaminsmith@gmail.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/10/11,daniel moreno,m,2009/06/26,,,cara mala,tsmith@yahoo.com
universidad nacional de jujuy,arquitectura,2020/10/17,paul harris,m,2008/01/02,,,ingeniero allan,linda80@yahoo.com
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2021/01/19,tyler wise,m,1996/03/21,,,acassuso,nlynch@gmail.com
universidad nacional de jujuy,ingeniería mecánica,2020/11/03,terry rogers,m,2002/01/22,,,campo paletta,tylergeorge@yahoo.com
universidad nacional de jujuy,licenciatura en sociología ,2021/01/28,vincent bell,m,1940/11/08,,,balneario claromeco,stephen94@yahoo.com
universidad nacional de jujuy,agronomía,2020/09/01,christopher austin,m,1992/06/28,,,azteazu,joshuastevens@hotmail.com
universidad nacional de jujuy,bioquímica,2020/09/30,travis gilbert,m,2013/05/26,,,colonia sere,thomasjames@yahoo.com
universidad nacional de jujuy,técnico para bioterios ,2020/09/09,kenneth moore,m,2009/01/06,,,abel,vmoore@yahoo.com
universidad nacional de jujuy,licenciatura en administración ,2020/11/09,shannon wright,f,1991/11/10,,,baños de la laja,jcastillo@yahoo.com
universidad nacional de jujuy,agronomía,2020/10/30,shelly francis,f,1939/06/28,,,amana,ramirezsherry@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/09/04,nicholas gordon,m,1961/08/05,,,benito juarez,bruce59@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/10/02,henry cisneros,m,1906/03/20,,,23 de agosto,williamshelton@gmail.com
universidad nacional de jujuy,licenciatura en ciencias de la educación ,2020/12/01,shawn campbell,m,1960/02/12,,,estancia santa catalina,emilylopez@gmail.com
universidad nacional de jujuy,arquitectura,2020/10/13,victoria daniels,f,1970/04/29,,,berduc,mmaldonado@hotmail.com
universidad nacional de jujuy,licenciatura en sociología ,2021/01/17,david harper,m,1923/04/26,,,sarandi,morajoseph@yahoo.com
universidad nacional de jujuy,ingeniería en informática,2020/10/07,kent alvarado,m,1973/07/07,,,masurel,epetersen@hotmail.com
universidad nacional de jujuy,arquitectura,2021/01/21,jordan schultz,m,2011/04/03,,,colonia rusa,hamiltonedward@gmail.com
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/12/14,paula gamble,f,1959/04/16,,,abra verde,aobrien@gmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/20,dawn jimenez,f,2003/11/07,,,barrio la dolly,heather33@gmail.com
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/11/10,mr. richard miller dds,m,2001/12/25,,,cañadon leon,brandonferguson@yahoo.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2021/01/15,brian brown,m,1934/12/16,,,agua y energia,sara62@yahoo.com
universidad nacional de jujuy,contador público ,2020/09/28,peggy phillips,f,2020/05/26,,,colonia san francisco,kevin44@hotmail.com
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/11/04,patrick cook,m,2000/10/06,,,12 de octubre,moneal@hotmail.com
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/10/24,bethany jones,f,1915/05/07,,,san nicolas de los arroyos,yorkpamela@hotmail.com
universidad nacional de jujuy,agronomía,2020/11/03,lisa bowman,f,2014/04/30,,,ranelagh,reynoldsdavid@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/09/01,wendy lee,f,1960/06/15,,,colonia beaufort,amandavalencia@hotmail.com
universidad nacional de jujuy,ingeniería electrónica,2020/11/18,philip jones,m,1996/11/28,,,estacion mazan,murphyerin@hotmail.com
universidad nacional de jujuy,técnico para bioterios ,2020/09/27,angel underwood,m,1976/09/17,,,ramos mejia,rowedana@gmail.com
universidad nacional de jujuy,licenciatura en administración ,2020/10/19,brian porter,m,1919/02/21,,,arroyo grande,woodsmitchell@gmail.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/11/07,mary wilson,f,1950/03/12,,,estancia las gamas,mpeterson@gmail.com
universidad nacional de jujuy,medicina,2020/11/09,whitney pham,f,1958/05/12,,,cortines,james68@hotmail.com
universidad nacional de jujuy,medicina,2020/10/18,logan wise,m,1960/01/25,,,ingeniero thompson,davenportdenise@gmail.com
universidad nacional de jujuy,licenciatura en musicoterapia,2020/12/22,david johnson,m,1990/07/10,,,villa eloisa,michellesmith@gmail.com
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/12/22,debbie ross,f,1954/09/30,,,alto del saladillo,galvantyler@yahoo.com
universidad nacional de jujuy,ingeniería electrónica,2020/10/07,kevin may,m,1999/11/08,,,diego lopez,zcollins@yahoo.com
universidad nacional de jujuy,ingeniería mecánica,2020/12/02,cheryl wilson,f,1939/06/28,,,cupiles,stephaniecarroll@gmail.com
universidad nacional de jujuy,ingeniería mecánica,2020/09/28,laura preston,f,1964/03/14,,,kilometro 112,krystal57@hotmail.com
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/11/07,kevin lowe,m,1954/06/01,,,carmen de areco,walterbrittany@hotmail.com
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020/09/29,brittany perez,f,1917/07/29,,,ceres,angelarobinson@gmail.com
universidad nacional de jujuy,licenciatura en artes,2020/11/12,michael sparks,m,1979/07/04,,,capitan bermudez,othomas@yahoo.com
universidad nacional de jujuy,diseño de imagen y sonido,2020/10/28,kimberly richardson,f,1980/09/10,,,barrio la dolly,todd04@hotmail.com
universidad nacional de jujuy,licenciatura en ciencias de la educación ,2021/01/17,david hubbard,m,1967/06/27,,,campo de mayo,jeremywalker@gmail.com
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/09/29,micheal morris,m,1919/07/24,,,arroyo hondo,edward05@yahoo.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2021/01/03,lisa johnson,f,2000/03/05,,,arroyo grande,thomas38@yahoo.com
universidad nacional de jujuy,agronomía,2020/10/31,teresa jackson,f,1977/01/13,,,fortin irene,juan72@hotmail.com
universidad nacional de jujuy,farmacia,2020/12/08,teresa lopez,f,1932/03/23,,,juan e barra,kmartinez@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/11/27,frank sanchez,m,1966/12/08,,,acostilla,floresjesse@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020/11/24,michael hall,m,1993/07/04,,,arroyo mal paso,smithveronica@gmail.com
universidad nacional de jujuy,medicina,2020/09/25,samuel andersen,m,1995/11/05,,,las palmas,angela10@yahoo.com
universidad nacional de jujuy,licenciatura en sociología ,2020/10/08,amber cole,f,1930/12/15,,,alberto gerchunoff,ryanhammond@hotmail.com
universidad nacional de jujuy,agronomía,2020/10/15,stephen brooks,m,1951/01/16,,,estancia las isletas,colinsmith@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/10/25,adam lewis,m,1927/09/21,,,9 de julio,tamara13@gmail.com
universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020/12/27,kayla mitchell,f,2013/02/05,,,acheral,gwendolyncordova@gmail.com
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/11/09,teresa flynn,f,1933/02/24,,,san nicolas de los arroyos,burkejonathan@hotmail.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/12/13,james taylor,m,1949/12/23,,,gobernador benegas,nicole33@gmail.com
universidad nacional de jujuy,licenciatura en psicología,2020/09/05,cassidy cunningham,f,1933/05/04,,,arroyo ceibal,zchandler@hotmail.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/12/07,sophia clark,f,1920/03/25,,,el rincon,robert22@yahoo.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/12/25,diana castro,f,1997/08/05,,,ireneo portela,anna66@hotmail.com
universidad nacional de jujuy,licenciatura en ciencia política ,2020/11/09,kathryn coleman,f,1908/10/03,,,gonzalez catan,laneryan@hotmail.com
universidad nacional de jujuy,agronomía,2021/01/19,michael robbins,m,1924/11/22,,,el tropezon,lmartinez@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020/11/24,kathy jennings,f,2018/04/27,,,juan maria gutierrez,iwalker@gmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2021/01/18,daryl moyer,m,1936/01/03,,,colonia los sauces,tpacheco@yahoo.com
universidad nacional de jujuy,licenciatura en administración ,2020/11/08,troy taylor,m,1981/08/10,,,desvio kilometro 55,johnsonabigail@gmail.com
universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020/12/26,dr. stephanie burnett,f,1995/10/05,,,bathurst estacion,crobertson@hotmail.com
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020/09/22,jeremy shah,m,1945/12/19,,,goyena,simonleslie@yahoo.com
universidad nacional de jujuy,ingeniería en informática,2020/09/30,dana oneill,f,1926/11/09,,,maria magdalena,gary33@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/10/27,randy diaz,m,1932/06/11,,,el tala,ryanwyatt@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/11/13,nicholas schmidt,m,1954/04/10,,,bahia tranquila,ronald55@yahoo.com
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020/10/27,dr. michael rich,m,1947/07/20,,,campo pesoa,fbonilla@hotmail.com
