,university,career,inscription_date,last_name,gender,age,postal_code,location,email
84,universidad nacional de río cuarto,actuario ,2020-08-21,james rogers,male,42,4411,sey,bowmanchristina@yahoo.com
85,universidad nacional de río cuarto,bioquímica,2020-07-20,chris vance,male,53,7201,colman,zbrennan@yahoo.com
86,universidad nacional de río cuarto,técnico para bioterios ,2020-12-20,matthew graham,male,80,2128,arroyo seco,ucordova@yahoo.com
87,universidad nacional de río cuarto,diseño de imagen y sonido,2020-12-19,christina thomas,female,6,5707,aguaditas,qhernandez@hotmail.com
88,universidad nacional de río cuarto,licenciatura en ciencias de la educación ,2020-10-21,sabrina reynolds,female,13,6559,recalde,vroberts@hotmail.com
89,universidad nacional de río cuarto,licenciatura en musicoterapia,2020-12-19,julia cook,female,48,6652,olascoaga,bradydanny@yahoo.com
90,universidad nacional de río cuarto,licenciatura en ciencia y tecnología de alimentos,2020-02-21,garrett alexander,male,89,4113,acostilla,hailey94@hotmail.com
91,universidad nacional de río cuarto,licenciatura en ciencias antropológicas,2020-01-21,deborah nguyen,female,30,5436,colonia zapata,donald94@hotmail.com
92,universidad nacional de río cuarto,diseño industrial,2020-10-19,troy calderon,male,45,2445,cristolia,dennisrichard@hotmail.com
93,universidad nacional de río cuarto,licenciatura en ciencias ambientales,2020-05-20,valerie chavez,female,83,5415,angaco norte,andrewtaylor@gmail.com
94,universidad nacional de río cuarto,licenciatura en ciencia política ,2020-10-21,kayla mccann,female,43,7519,san mayol,xtucker@gmail.com
95,universidad nacional de río cuarto,licenciatura en producción de bioimagenes,2020-08-21,pamela mcintosh,female,82,5265,agua los matos,michelle65@yahoo.com
96,universidad nacional de río cuarto,arquitectura,2020-01-20,kevin leon,male,62,4633,san pedro de iruya,kaylahall@yahoo.com
97,universidad nacional de río cuarto,licenciatura en sociología ,2020-11-21,megan jackson,female,54,5340,agua grande,cowankelly@gmail.com
98,universidad nacional de río cuarto,ingeniería mecánica,2020-03-21,christopher glenn,male,98,1755,rafael castillo,johnferguson@yahoo.com
99,universidad nacional de río cuarto,farmacia,2020-03-21,mark ortiz,male,44,2808,atucha,alanbond@hotmail.com
100,universidad nacional de río cuarto,técnico para bioterios ,2020-09-20,pamela moon,female,57,5584,barrio villa adela,frankjohnson@hotmail.com
101,universidad nacional de río cuarto,licenciatura en relaciones del trabajo ,2020-04-20,casey scott,male,40,2407,campo clucellas,robert40@hotmail.com
102,universidad nacional de río cuarto,licenciatura en producción de bioimagenes,2020-06-21,gordon bailey,male,13,4184,bustamante,qhudson@hotmail.com
103,universidad nacional de río cuarto,licenciatura en planificación y diseño del paisaje,2020-06-21,michelle gentry,female,33,7407,libano,kellyanderson@hotmail.com
104,universidad nacional de río cuarto,farmacia,2020-04-20,henry smith,male,34,4143,independencia,turnerlaurie@yahoo.com
105,universidad nacional de río cuarto,licenciatura en ciencia y tecnología de alimentos,2020-03-21,michelle rodriguez,female,64,6030,edmundo perkins,solisjennifer@yahoo.com
106,universidad nacional de río cuarto,ingeniería mecánica,2020-12-20,arthur rodriguez,male,84,3196,arroyo vega,ramossusan@gmail.com
107,universidad nacional de río cuarto,licenciatura en artes,2020-10-19,rita torres,female,33,1733,plomer,harrisphillip@gmail.com
108,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2020-11-19,lauren turner,female,10,3363,25 de mayo,waltonstephen@gmail.com
109,universidad nacional de río cuarto,licenciatura en ciencias antropológicas,2020-06-20,stacy perez,female,52,3204,ayui parada,travismaddox@yahoo.com
110,universidad nacional de río cuarto,técnico para bioterios ,2020-12-21,katelyn thompson,female,27,6434,palantelen,dawnmata@gmail.com
111,universidad nacional de río cuarto,ingeniería electrónica,2020-11-21,michael prince,male,60,2258,campo quiñones,nicholasdoyle@yahoo.com
112,universidad nacional de río cuarto,licenciatura en psicología,2020-03-20,gloria miller,female,8,9220,cañadon la madera,robert39@gmail.com
113,universidad nacional de río cuarto,licenciatura en artes,2020-01-20,tara gilbert,female,77,7112,aguas verdes,pwilliams@hotmail.com
114,universidad nacional de río cuarto,licenciatura en ciencias ambientales,2020-02-21,jeremiah burns,male,61,6070,balsa,wrightcassandra@yahoo.com
115,universidad nacional de río cuarto,licenciatura en gestión de agroalimentos,2020-11-19,rhonda freeman,female,77,7112,aguas verdes,cindywashington@gmail.com
116,universidad nacional de río cuarto,ingeniería en informática,2020-08-20,christina baird,female,32,3718,amambay,gravestiffany@hotmail.com
117,universidad nacional de río cuarto,actuario ,2020-02-21,alexander johnson,male,79,6603,ingeniero williams,ianmosley@yahoo.com
118,universidad nacional de río cuarto,ciencias veterinarias,2020-08-21,heather shaw,female,36,4115,agua azul,martinezdavid@gmail.com
119,universidad nacional de río cuarto,técnico para bioterios ,2020-01-21,victoria martin,female,9,4501,abra del trigo,jeremiahporter@yahoo.com
120,universidad nacional de río cuarto,licenciatura en ciencias ambientales,2020-12-19,nicole cooper,female,97,2214,aldao,griffinlarry@hotmail.com
121,universidad nacional de río cuarto,licenciatura en ciencias de la computación,2020-01-21,thomas cook,male,15,2218,carrizales,zthompson@hotmail.com
122,universidad nacional de río cuarto,licenciatura en psicología,2020-03-20,juan smith,male,77,3203,arroyo grande,chelsealawson@hotmail.com
123,universidad nacional de río cuarto,arquitectura,2020-02-21,jonathan marshall,male,4,8148,estancia las isletas,unoble@hotmail.com
124,universidad nacional de río cuarto,licenciatura en ciencia y tecnología de alimentos,2020-09-21,donna moore,female,21,1984,domselaar,stuartmatthew@hotmail.com
125,universidad nacional de río cuarto,licenciatura en producción de bioimagenes,2020-05-20,maxwell mills,male,95,5873,isla,gibsoncrystal@hotmail.com
126,universidad nacional de río cuarto,licenciatura en psicología,2020-02-20,thomas johnson,male,6,2212,campo galloso,dunlaplaura@hotmail.com
127,universidad nacional de río cuarto,licenciatura en planificación y diseño del paisaje,2020-03-20,patricia morales,female,3,2741,el retiro,evanswendy@yahoo.com
128,universidad nacional de río cuarto,ingeniería electrónica,2020-06-20,charles johns,male,12,1638,vicente lopez,mikestephens@gmail.com
129,universidad nacional de río cuarto,medicina,2020-12-19,jeffrey anderson,male,1,6305,atreuco,joe80@gmail.com
130,universidad nacional de río cuarto,licenciatura en administración ,2020-03-21,jonathan brown,male,37,6459,colonia sere,jonesmichael@hotmail.com
131,universidad nacional de río cuarto,diseño industrial,2020-06-20,sandra pearson,female,95,5596,12 de octubre,patrickhawkins@yahoo.com
132,universidad nacional de río cuarto,ciencias veterinarias,2020-02-20,stephen cruz,male,19,2300,colonia bella italia,jroberts@gmail.com
133,universidad nacional de río cuarto,licenciatura en administración ,2020-04-21,anthony taylor,male,11,4624,abra mayo,laurapham@yahoo.com
134,universidad nacional de río cuarto,licenciatura en ciencia y tecnología de alimentos,2020-02-20,james lopez,male,11,1617,el talar,christopher58@hotmail.com
135,universidad nacional de río cuarto,licenciatura en ciencias geológicas,2020-11-20,james smith,male,12,3050,calchaqui,jessicagibbs@yahoo.com
136,universidad nacional de río cuarto,licenciatura en relaciones del trabajo ,2020-07-20,angel ramirez,female,12,1653,villa ballester,lsmith@yahoo.com
137,universidad nacional de río cuarto,farmacia,2020-12-21,matthew meyer,male,26,9211,cushamen,drew16@gmail.com
138,universidad nacional de río cuarto,técnico para bioterios ,2020-02-21,kelly sanders,female,70,3201,camba paso,atkinstoni@yahoo.com
139,universidad nacional de río cuarto,licenciatura en planificación y diseño del paisaje,2020-04-21,shawn rodriguez,male,13,6361,agustoni,owright@yahoo.com
140,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2020-05-21,matthew cruz,male,16,4128,el carmen,elizabethholder@gmail.com
141,universidad nacional de río cuarto,diseño industrial,2020-06-20,kim myers,female,38,3463,aristia,gwagner@yahoo.com
142,universidad nacional de río cuarto,licenciatura en musicoterapia,2020-07-20,donna allen,female,68,8132,balneario chapalco,shannonmartin@hotmail.com
143,universidad nacional de río cuarto,licenciatura en producción de bioimagenes,2020-11-19,larry jackson,male,60,3142,alcaracito,tcummings@hotmail.com
144,universidad nacional de río cuarto,medicina,2020-04-20,jonathan austin,male,81,3021,campo andino,jasoncarr@yahoo.com
145,universidad nacional de río cuarto,arquitectura,2020-12-21,norman hernandez,male,73,3361,acaragua,qmathews@yahoo.com
146,universidad nacional de río cuarto,licenciatura en ciencias geológicas,2020-06-20,amanda hodges,female,71,3553,colonia duran,elizabethhicks@yahoo.com
147,universidad nacional de río cuarto,técnico para bioterios ,2020-06-21,lucas durham,male,24,6106,aaron castellanos,smcdonald@hotmail.com
148,universidad nacional de río cuarto,diseño industrial,2020-05-21,james lopez,male,46,3380,9 de julio kilometro 20,john93@gmail.com
149,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2020-11-19,samantha moore,female,78,3361,acaragua,poconnell@hotmail.com
150,universidad nacional de río cuarto,arquitectura,2020-10-21,thomas woods,male,95,5741,13 de enero,lindsey40@yahoo.com
151,universidad nacional de río cuarto,diseño industrial,2020-10-20,mr. dennis lee,male,7,6515,carlos maria naon,laurenpowell@yahoo.com
152,universidad nacional de río cuarto,licenciatura en ciencias biológicas,2020-07-21,bonnie beck,female,3,5505,carbometal,osalazar@gmail.com
153,universidad nacional de río cuarto,ingeniería electrónica,2020-06-20,patricia houston,female,27,3463,aristia,hstephens@yahoo.com
154,universidad nacional de río cuarto,ciencias veterinarias,2020-12-19,heather scott,female,32,3180,diego lopez,clarkdouglas@hotmail.com
155,universidad nacional de río cuarto,licenciatura en ciencias antropológicas,2020-09-20,daniel vega,male,86,3180,diego lopez,ruthcruz@hotmail.com
156,universidad nacional de río cuarto,licenciatura en ciencias ambientales,2020-01-20,sarah burns,female,40,8328,allen,donnareynolds@yahoo.com
157,universidad nacional de río cuarto,licenciatura en ciencias antropológicas,2020-02-20,christina spence,female,59,5759,calera argentina,buckleytaylor@gmail.com
158,universidad nacional de río cuarto,arquitectura,2020-10-19,jeffery gutierrez,male,3,2828,colonia nueva montevideo,melissanguyen@gmail.com
159,universidad nacional de río cuarto,actuario ,2020-11-20,becky dunn,female,9,3541,campo las puertas,wolfeamanda@gmail.com
160,universidad nacional de río cuarto,técnico para bioterios ,2020-06-21,christian henry,male,22,4142,alto de leiva,mcarpenter@gmail.com
161,universidad nacional de río cuarto,licenciatura en ciencias ambientales,2020-05-20,katie schultz,female,13,5513,barrio jardin luzuriaga,christopherjimenez@yahoo.com
162,universidad nacional de río cuarto,licenciatura en relaciones del trabajo ,2020-05-20,cynthia johnson,female,12,5313,estacion mazan,hallricardo@hotmail.com
163,universidad nacional de río cuarto,contador público ,2020-03-21,james riley,male,54,5637,30 de octubre,tiffany23@yahoo.com
164,universidad nacional de río cuarto,arquitectura,2020-08-21,patrick mitchell,male,10,6032,blandengues,justin64@gmail.com
165,universidad nacional de río cuarto,ingeniería en informática,2020-03-21,tyler delgado,male,11,1661,bella vista,trevinojohn@hotmail.com
166,universidad nacional de río cuarto,diseño de imagen y sonido,2020-02-21,matthew hernandez,male,47,5365,el jumeal,kristiepotter@hotmail.com
167,universidad nacional de río cuarto,técnico para bioterios ,2020-11-21,michelle moss,female,9,5473,aguayo,jirwin@yahoo.com
168,universidad nacional de río cuarto,licenciatura en sociología ,2020-07-21,michelle meyer,female,98,3200,colonia los sauces,vancejennifer@hotmail.com
169,universidad nacional de río cuarto,ingeniería electrónica,2020-01-21,angela hensley,female,90,9111,bahia bustamante,ycastillo@yahoo.com
170,universidad nacional de río cuarto,ingeniería en informática,2020-02-20,bonnie day,female,33,1858,villa numancia,wbush@yahoo.com
171,universidad nacional de río cuarto,licenciatura en ciencia y tecnología de alimentos,2020-02-21,kimberly clarke,female,85,5419,baños de la laja,perezrandy@yahoo.com
172,universidad nacional de río cuarto,agronomía,2020-01-21,luis paul,male,14,1980,barrio la dolly,kturner@yahoo.com
173,universidad nacional de río cuarto,licenciatura en administración ,2020-10-20,stephen estrada,male,88,2208,gaboto,schultzmindy@yahoo.com
174,universidad nacional de río cuarto,arquitectura,2020-07-20,kevin dalton,male,63,9201,cachel,snowlinda@yahoo.com
175,universidad nacional de río cuarto,arquitectura,2020-09-21,jerry bradley,male,44,3358,cheroguita,kimberlywhitaker@hotmail.com
176,universidad nacional de río cuarto,licenciatura en ciencias biológicas,2020-03-20,dr. juan moore dds,male,43,6641,comodoro py,petersbrian@gmail.com
177,universidad nacional de río cuarto,licenciatura en ciencias geológicas,2020-11-19,donna turner,female,1,7541,d orbigny,cmontgomery@yahoo.com
178,universidad nacional de río cuarto,ingeniería en informática,2020-12-19,kevin sparks,male,75,8412,cañadon del corral,clinton26@yahoo.com
179,universidad nacional de río cuarto,medicina,2020-05-21,lynn brown,female,24,3332,capiovi,vthompson@yahoo.com
180,universidad nacional de río cuarto,ciencias veterinarias,2020-01-20,angela martin,female,40,3080,colonia pujol,juliegonzales@yahoo.com
181,universidad nacional de río cuarto,licenciatura en ciencias geológicas,2020-08-21,rebecca weaver,female,6,2725,hughes,gardnermegan@gmail.com
182,universidad nacional de río cuarto,licenciatura en kinesiología y fisiatría,2020-10-20,michael miller,male,73,8361,isla grande,diane57@hotmail.com
183,universidad nacional de río cuarto,licenciatura en planificación y diseño del paisaje,2020-02-20,bradley lee,male,25,2216,campo raffo,nathanielthompson@hotmail.com
184,universidad nacional de río cuarto,licenciatura en artes,2020-06-20,ryan white,male,14,5612,valle de las leñas,pattonbrett@hotmail.com
185,universidad nacional de río cuarto,ciencias veterinarias,2020-11-20,kyle carpenter,male,10,3181,arroyo moreira,guerradebra@gmail.com
186,universidad nacional de río cuarto,licenciatura en artes,2020-12-20,amber harris,female,13,2723,estancia las gamas,ndelgado@hotmail.com
187,universidad nacional de río cuarto,licenciatura en psicología,2020-11-19,shawn parks,male,72,3029,colonia adolfo alsina,phillipsbrian@hotmail.com
188,universidad nacional de río cuarto,ciencias veterinarias,2020-02-20,daryl thomas,male,50,2720,colon,jcampbell@hotmail.com
189,universidad nacional de río cuarto,licenciatura en ciencia y tecnología de alimentos,2020-10-21,shawn schultz,male,15,6207,alta italia,eryan@gmail.com
190,universidad nacional de río cuarto,licenciatura en ciencias de la computación,2020-04-21,misty edwards,female,12,1684,ciudad jardin del palomar,hannahpadilla@gmail.com
191,universidad nacional de río cuarto,arquitectura,2020-06-20,andrea avery,female,57,3083,grutly,carlyavila@gmail.com
192,universidad nacional de río cuarto,licenciatura en ciencia política ,2020-03-20,justin jimenez,male,13,3445,9 de julio,foxlinda@hotmail.com
193,universidad nacional de río cuarto,farmacia,2020-11-19,karen pruitt,female,0,7547,cascada,smithhannah@yahoo.com
194,universidad nacional de río cuarto,licenciatura en ciencias ambientales,2020-05-21,andrew rodriguez,male,46,6705,villa ruiz,patrick13@yahoo.com
195,universidad nacional de río cuarto,licenciatura en kinesiología y fisiatría,2020-10-20,lawrence peck,male,51,1752,lomas del mirador,jessica95@gmail.com
196,universidad nacional de río cuarto,ingeniería electrónica,2020-12-21,mary kelley,female,-1,1890,juan maria gutierrez,malonejeremy@hotmail.com
197,universidad nacional de río cuarto,ingeniería mecánica,2020-04-20,mark payne,male,75,1905,jose ferrari,brian88@gmail.com
198,universidad nacional de río cuarto,ingeniería en informática,2020-04-20,samantha nunez,female,10,6459,colonia sere,travisvasquez@yahoo.com
199,universidad nacional de río cuarto,contador público ,2020-07-21,christopher scott,male,6,8158,aparicio,larry22@gmail.com
200,universidad nacional de río cuarto,licenciatura en psicología,2020-01-20,patrick ball,male,61,3376,gobernador lanusse,wesleyleon@gmail.com
201,universidad nacional de río cuarto,ciencias veterinarias,2020-05-21,alisha chapman,female,39,3027,la pelada,hannah27@gmail.com
202,universidad nacional de río cuarto,licenciatura en artes,2020-11-21,evelyn jones,female,9,9400,an aike,anne86@yahoo.com
203,universidad nacional de río cuarto,diseño de imagen y sonido,2020-05-21,sarah brewer,female,16,2253,campo gimenez,linda14@yahoo.com
204,universidad nacional de río cuarto,licenciatura en administración ,2020-09-21,brittany cooper,female,49,3302,aguara cua,sarawilson@gmail.com
205,universidad nacional de río cuarto,licenciatura en producción de bioimagenes,2020-12-20,brian bell,male,12,4630,aparzo,shannongonzalez@hotmail.com
206,universidad nacional de río cuarto,licenciatura en ciencias biológicas,2020-06-21,willie gonzalez,male,55,5470,abra verde,gdennis@yahoo.com
207,universidad nacional de río cuarto,diseño industrial,2020-01-20,michael watts,male,87,5600,agua de la mula,andrewsantos@gmail.com
208,universidad nacional de río cuarto,licenciatura en kinesiología y fisiatría,2020-11-19,william jacobson,male,19,4000,estacion de zootecnia b,boydlinda@gmail.com
209,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2020-04-21,toni friedman,female,94,3445,9 de julio,mandrade@gmail.com
210,universidad nacional de río cuarto,licenciatura en psicología,2020-10-19,joanna harris,female,14,5573,colonia delfino,kenneth89@yahoo.com
