,university,career,inscription_date,first_name,last_name,gender,birth_date,age,location,email,postal_code
82,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-11-12,nan,malik ball,male,1911-09-23,110,villa adelina,zaguilar@gmail.com,1607
83,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-30,nan,mike kim,male,1920-08-14,102,valle hondo,brownzachary@gmail.com,9221
84,universidad tecnológica nacional,licenciatura en musicoterapia,2020-09-04,nan,emma jackson,female,1983-10-07,38,kilometro 125,mackamanda@yahoo.com,6600
85,universidad tecnológica nacional,ingeniería mecánica,2020-09-04,nan,jeffrey sandoval,male,1962-09-16,59,perez,tammy71@hotmail.com,2121
86,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-10-30,nan,betty bishop,female,1982-07-14,40,agrelo,kristen05@yahoo.com,5509
87,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-26,nan,tammy petersen,female,2003-01-31,19,caminera samborombon,acarter@gmail.com,7130
88,universidad tecnológica nacional,arquitectura,2020-09-30,nan,justin lopez,male,2000-10-08,21,el trebol,lauragriffith@yahoo.com,2535
89,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-02,nan,megan booker,female,1954-06-13,68,arbol solo,kingchase@gmail.com,3230
90,universidad tecnológica nacional,licenciatura en administración ,2020-11-01,nan,jose ewing,male,1986-02-20,36,alizal,zblankenship@gmail.com,4122
91,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-11-26,nan,tiffany bates,female,2007-07-10,15,cascada,grichards@gmail.com,7547
92,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-06,nan,russell gomez,male,1962-06-18,60,boliche lata,rogersdouglas@hotmail.com,3449
93,universidad tecnológica nacional,licenciatura en ciencia política ,2020-12-21,nan,desiree edwards,female,1908-01-03,114,acostilla,tdodson@hotmail.com,4113
94,universidad tecnológica nacional,técnico para bioterios ,2021-01-15,nan,thomas thompson,male,1951-12-15,70,amalia,amy82@hotmail.com,6516
95,universidad tecnológica nacional,licenciatura en administración ,2020-12-11,nan,samantha briggs,female,1907-09-18,114,san antonio de obligado,mia12@hotmail.com,3587
96,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-11-19,nan,stacey lee,female,2002-06-21,20,benitez,chavezmichael@hotmail.com,6632
97,universidad tecnológica nacional,contador público ,2020-10-08,nan,katie cain,female,1931-08-12,91,cañada de gomez,brian98@gmail.com,2500
98,universidad tecnológica nacional,diseño industrial,2021-01-27,nan,tony hall,male,2003-03-25,19,4 de noviembre,ksmith@hotmail.com,2707
99,universidad tecnológica nacional,ingeniería en informática,2020-09-14,nan,troy martin,male,1915-03-15,107,abra guazu,kurtroberson@gmail.com,3197
100,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-11-09,nan,christopher everett,male,1934-10-04,87,cazon,qlucas@hotmail.com,7265
101,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020-11-10,nan,jason rice,male,1985-05-26,37,apoyaco,stevenjames@yahoo.com,5317
102,universidad tecnológica nacional,farmacia,2021-01-29,nan,john williams,male,1971-02-20,51,angostura,cynthiacarlson@hotmail.com,3481
103,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-24,nan,kristen brown,female,1958-05-17,64,alvarez,ygomez@hotmail.com,2107
104,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-09-26,nan,mrs. crystal miller,female,1906-03-28,116,arroyo corralito,andrewthompson@hotmail.com,3122
105,universidad tecnológica nacional,ingeniería electrónica,2020-12-16,nan,leslie harris,female,2013-10-11,8,16 de julio,ericalewis@gmail.com,7313
106,universidad tecnológica nacional,medicina,2020-11-02,nan,amy warner,female,1966-04-29,56,arana,robertphelps@hotmail.com,1909
107,universidad tecnológica nacional,licenciatura en psicología,2020-12-09,nan,jennifer schroeder,female,1992-02-13,30,agua linda,ebraun@hotmail.com,5753
108,universidad tecnológica nacional,actuario ,2020-12-25,nan,sydney jackson,female,1943-08-18,79,kilometro 47,austinhannah@gmail.com,5624
109,universidad tecnológica nacional,licenciatura en administración ,2021-01-29,nan,jason austin,male,1948-09-17,73,ireneo portela,cooperchelsea@gmail.com,2943
110,universidad tecnológica nacional,licenciatura en administración ,2020-09-14,nan,jacob white,male,1918-04-21,104,cara mala,david71@yahoo.com,9313
111,universidad tecnológica nacional,ciencias veterinarias,2020-12-07,nan,dylan brown,male,1955-07-28,67,villa lerga,heidihuang@gmail.com,5424
112,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-13,nan,andrew mcdonald,male,1933-05-16,89,san marcelo,megangray@yahoo.com,6009
113,universidad tecnológica nacional,licenciatura en psicología,2020-10-12,nan,karen wagner,female,1930-09-24,91,las hermanas,hayesmary@gmail.com,7412
114,universidad tecnológica nacional,ingeniería mecánica,2021-01-11,nan,christopher rivera,male,1914-02-25,108,dos hermanos,dawn99@hotmail.com,6042
115,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021-01-20,nan,holly obrien,female,1943-08-13,79,grutly,joanfrost@gmail.com,3083
116,universidad tecnológica nacional,licenciatura en psicología,2020-09-28,nan,amy hanson,female,2018-01-24,4,12 de octubre,chelseachavez@gmail.com,5596
117,universidad tecnológica nacional,ingeniería mecánica,2020-09-06,nan,heather pearson,female,2000-12-12,21,abra del tafi,regina45@yahoo.com,4105
118,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-26,nan,chase rodriguez,male,1971-06-04,51,el carbalino,daniel30@yahoo.com,5592
119,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-11-22,nan,debra taylor,female,1939-09-08,82,candelaria sud,donnawalker@gmail.com,2170
120,universidad tecnológica nacional,ciencias veterinarias,2020-11-25,nan,tina garcia,female,2008-08-22,14,ampacama,zking@yahoo.com,5444
121,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-17,nan,lisa nolan,female,1924-02-09,98,dho,christine59@gmail.com,3070
122,universidad tecnológica nacional,licenciatura en artes,2021-01-13,nan,jack roberts,male,1947-09-24,74,lehmann,krystal98@gmail.com,2305
123,universidad tecnológica nacional,ingeniería mecánica,2020-10-09,nan,brandon rhodes,male,1941-06-07,81,gobernador lanusse,amandascott@yahoo.com,3376
124,universidad tecnológica nacional,licenciatura en artes,2020-09-21,nan,april swanson,female,1947-06-22,75,campo el bermejo,lopeznicole@yahoo.com,3509
125,universidad tecnológica nacional,agronomía,2020-10-19,nan,edward randolph,male,1989-05-05,33,estacion saguier,jleon@gmail.com,2315
126,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-10-28,nan,jacob cruz,male,1944-07-19,78,drabble,stonemelissa@yahoo.com,6242
127,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-04,nan,pamela cherry,female,1959-09-09,62,cañada la rica,thomashill@hotmail.com,6625
128,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020-09-19,nan,mark smith,male,1964-06-04,58,gobernador crespo,bgrimes@hotmail.com,3044
129,universidad tecnológica nacional,arquitectura,2020-12-02,nan,denise stephens,female,1941-02-16,81,barcena,naustin@yahoo.com,4616
130,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-04,nan,brittany boyd,female,1987-04-24,35,moron,gcunningham@hotmail.com,1708
131,universidad tecnológica nacional,ingeniería mecánica,2021-01-28,nan,christina moses,female,1960-06-16,62,fortin chaco,amymiller@hotmail.com,8160
132,universidad tecnológica nacional,arquitectura,2020-12-10,nan,thomas cook,male,1917-08-17,105,campana,david32@yahoo.com,2804
133,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-10-21,nan,debra perez,female,1943-11-10,78,chimpay,dawsonleroy@gmail.com,8364
134,universidad tecnológica nacional,licenciatura en psicología,2020-09-29,nan,amy houston,female,2007-10-21,14,alto del saladillo,cathy97@hotmail.com,4500
135,universidad tecnológica nacional,licenciatura en ciencia política ,2021-01-23,nan,john reeves,male,1983-02-13,39,banfield,melissaodonnell@yahoo.com,1828
136,universidad tecnológica nacional,bioquímica,2020-11-04,nan,stacy smith dds,female,1995-09-29,26,bravo del dos,jodihill@hotmail.com,6411
137,universidad tecnológica nacional,arquitectura,2020-11-12,nan,william jacobson,male,2015-12-29,6,colonia berlin,robert57@gmail.com,2313
138,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-09-16,nan,julie christensen,female,1946-04-24,76,algarrobal puisoye,billy46@yahoo.com,3405
139,universidad tecnológica nacional,licenciatura en sociología ,2020-09-08,nan,amy shah,female,1937-09-27,84,alamo,michael95@yahoo.com,3448
140,universidad tecnológica nacional,ingeniería mecánica,2020-09-13,nan,thomas sheppard,male,1938-06-27,84,el perdido est jose guisasola,fwilson@yahoo.com,8156
141,universidad tecnológica nacional,bioquímica,2020-12-05,nan,lisa hartman,female,1997-07-16,25,20 de septiembre,joshua37@gmail.com,3158
142,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020-10-05,nan,terry zimmerman,female,1968-01-08,54,la ines,samuel35@yahoo.com,6100
143,universidad tecnológica nacional,bioquímica,2020-10-10,nan,julie kim,female,1987-01-04,35,argerich,cunninghammelissa@hotmail.com,8134
144,universidad tecnológica nacional,diseño de imagen y sonido,2020-11-19,nan,mark cervantes md,male,1966-03-10,56,balneario chapalco,josephthompson@gmail.com,8132
145,universidad tecnológica nacional,actuario ,2020-11-10,nan,mckenzie lynch,female,2002-01-25,20,colonia clara,randy39@hotmail.com,3025
146,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020-09-02,nan,christina green,female,2004-04-25,18,isla gran malvina,christopherscott@yahoo.com,9409
147,universidad tecnológica nacional,contador público ,2020-09-21,nan,daniel hubbard,male,1968-07-05,54,balcarce,dukedominic@gmail.com,7620
148,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2021-01-09,nan,samantha maxwell,female,1925-06-02,97,cataratas del iguazu,greenmark@gmail.com,3372
149,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-11-12,nan,steven charles,male,1908-12-03,113,cululu,kbeasley@gmail.com,3023
150,universidad tecnológica nacional,farmacia,2020-10-04,nan,lisa dyer,female,1930-10-07,91,barcala,yrosales@yahoo.com,5587
151,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-02,nan,jessica hampton,female,1939-01-20,83,gonzalez moreno,goodmanangela@gmail.com,6239
152,universidad tecnológica nacional,diseño industrial,2020-09-25,nan,katie weber,female,1923-12-14,98,barrio 1 de mayo,davidmckinney@yahoo.com,1814
153,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-09-18,nan,kathy wright,female,2021-02-08,1,bouquet,carpenteralex@gmail.com,2523
154,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-11-21,nan,scott wells,male,1947-04-10,75,la rosa,perryteresa@yahoo.com,8133
155,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-26,nan,katie scott,female,1916-03-29,106,berraondo,heather91@gmail.com,8124
156,universidad tecnológica nacional,medicina,2020-11-27,nan,olivia hodges,female,1975-08-17,47,cangrejillos,bmiller@gmail.com,4644
157,universidad tecnológica nacional,licenciatura en ciencia política ,2020-12-11,nan,glenda barnes,female,1965-07-21,57,gente grande,bwilkins@gmail.com,8379
158,universidad tecnológica nacional,licenciatura en administración ,2020-10-11,nan,michael wallace,male,1981-12-02,40,aguas buenas,pinedaamanda@gmail.com,6228
159,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-12-14,nan,lance williams,male,2018-09-26,3,el duraznillo,katelynmartin@hotmail.com,4722
160,universidad tecnológica nacional,actuario ,2020-11-01,nan,kimberly stewart,female,1937-03-24,85,lierra adjemiro,stonemichael@gmail.com,2718
161,universidad tecnológica nacional,licenciatura en psicología,2021-01-21,nan,michelle lewis,female,1984-09-13,37,el porvenir,dwalker@hotmail.com,3374
162,universidad tecnológica nacional,actuario ,2020-10-02,nan,michael frye,male,1996-02-17,26,san isidro,edward10@gmail.com,1642
163,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-11-12,nan,david pollard,male,1919-03-15,103,el olivo,jjackson@hotmail.com,6203
164,universidad tecnológica nacional,técnico para bioterios ,2021-01-27,nan,monica jennings,female,1911-06-15,111,chovet,jonesandrea@yahoo.com,2633
165,universidad tecnológica nacional,licenciatura en psicología,2021-01-02,nan,jennifer barton,female,1929-05-03,93,arroyo manganga,frank11@yahoo.com,3220
166,universidad tecnológica nacional,diseño industrial,2020-09-14,nan,theresa stuart,female,1988-12-16,33,bajo guazu,carlsonbrett@gmail.com,3421
167,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020-11-04,nan,phillip woods,male,1933-10-17,88,san antonio de obligado,sarah31@gmail.com,3587
168,universidad tecnológica nacional,bioquímica,2021-01-23,nan,kaylee gonzalez,female,1925-11-27,96,rio mayo,tami35@gmail.com,9030
169,universidad tecnológica nacional,arquitectura,2021-01-23,nan,lacey johnson,female,1948-02-01,74,colonia lote 12,sabrinahenry@yahoo.com,3543
170,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-15,nan,angela russell,female,1911-07-19,111,alfredo demarchi,pennyramirez@yahoo.com,6533
171,universidad tecnológica nacional,licenciatura en ciencias geológicas,2021-01-16,nan,matthew sullivan,male,1957-04-17,65,barrio emir ramon juarez,kristenpatterson@gmail.com,7600
172,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2021-01-21,nan,samantha jimenez,female,1918-03-01,104,rincon de milberg,loweolivia@gmail.com,1648
173,universidad tecnológica nacional,bioquímica,2020-11-27,nan,jorge jackson,male,1912-12-07,109,dho,maryalexander@gmail.com,3070
174,universidad tecnológica nacional,licenciatura en artes,2020-10-19,nan,dawn hodge,female,1925-04-13,97,est jauregui va flandria,roger32@gmail.com,6706
175,universidad tecnológica nacional,licenciatura en sociología ,2021-01-18,nan,nicholas carter,male,1940-08-12,82,colonia duportal,david12@hotmail.com,2845
176,universidad tecnológica nacional,ingeniería en informática,2021-01-31,nan,robert watson,male,1972-08-05,50,alto grande,tammybaker@hotmail.com,5572
177,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-09-03,nan,diana hamilton,female,1953-06-24,69,colonia hernandarias,donald06@yahoo.com,3129
178,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-11-13,nan,michael gay,male,2016-12-19,5,centro comunitario cnia nue,peterbutler@yahoo.com,3118
179,universidad tecnológica nacional,ciencias veterinarias,2020-09-17,nan,debra ford,female,1954-06-04,68,el gualicho,pwallace@yahoo.com,7200
180,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020-10-05,nan,michael gomez,male,2013-04-10,9,deferrari,jsullivan@hotmail.com,7521
181,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020-11-10,nan,paul noble,male,1978-06-04,44,balde de leyes,robert62@gmail.com,5446
182,universidad tecnológica nacional,licenciatura en ciencias biológicas,2021-01-26,nan,miss lauren fuller,female,1937-06-04,85,la union,kcastro@yahoo.com,7160
183,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-11,nan,curtis waters md,male,1931-07-19,91,las quintas,jamesparker@gmail.com,2200
184,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-09-25,nan,charles long,male,1948-04-08,74,hito 45,christopher73@hotmail.com,9039
185,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-09-10,nan,tammy ewing,female,1989-08-14,33,boca p 25,thomas90@gmail.com,2600
